GID,ESPN ID,Pos,Name,Team,Salary,Salary Change,Points,GP,Pts/Game,Pts/G/$,Pts/G(alt),Last pts,Days ago,Schedule starting Wed 1/1
4276,4259,5,"Davis, Ed",Uta,3000,0,167.3,19,8.8,2.9,8.8,0,2,.2.4.6.8.0.2.4.6.8.0.2..5.7.
4610,2489716,12,"Dellavedova, Matthew",Cle,3200,0,285.5,31,9.2,2.9,9.2,9.2,1,.2.45.7.9.1.34..78.0..3.5.78
4863,0,1,"Cook, Quinn",LAL,3000,0,190.3,22,8.6,2.9,8.6,0,3,1.3.5.7..01.3.5..8.0.23.5..8
4913,0,45,"Bender, Dragan",Mil,3000,-300,26.5,3,8.8,2.9,8.8,0,2,1..4.6.8.01..4.6.8.0...4...8
4970,0,12,"Ferrell, Yogi",Sac,3500,0,268.3,26,10.3,2.9,10.3,0,1,.2.4.67..0..3.5..8.0.2.4..7.
5692,0,23,"Mykhailiuk, Sviatoslav",Det,4000,0,338,29,11.7,2.9,11.7,22.2,2,.2.45.7.9.1.3.5..8.0.2.45.7.
5849,0,1,"Waters, Tremont",Bos,3000,0,26,3,8.7,2.9,8.7,0,1,..34.6.89.1.3.56.8.0.2.4.6.8
5904,0,5,"Pelle, Norvel",Phi,3000,0,70,8,8.8,2.9,8.8,9.2,1,..3..6..9.1.3.5.78.0.2..5..8
4708,3113297,45,"Caboclo, Bruno",Mem,3000,0,176,21,8.4,2.8,8.4,0,3,.2.45.7..0.2.4..7..0.2.4.6.8
4807,0,1,"Neto, Raul",Phi,3000,0,245.5,29,8.5,2.8,8.5,8.8,1,..3..6..9.1.3.5.78.0.2..5..8
4918,0,23,"Luwawu, Timothe",Bkn,3400,0,96,10,9.6,2.8,9.6,19.8,2,.2.4.67..0.2.45..8.0..3.56..
5204,0,23,"Craig, Torrey",Den,3000,0,190.3,23,8.3,2.8,8.3,6.8,1,.2.4.6.8..12..56..90.2.4.6.8
5746,0,45,"Hartenstein, Isaiah",Hou,5400,0,184.5,12,15.4,2.8,15.4,35.5,1,..3....89.1..45..8.0.2.4.67.
5934,0,3,"Martin, Kelan",Min,4000,700,145.5,13,11.2,2.8,11.2,22.8,2,12..5.7.9.1.3.5.78.0.2.45.7.
4168,3999,34,"Johnson, James",Mia,3000,0,48.8,6,8.1,2.7,8.1,0,2,.23.5..8.0.2..5.7.90.2.4..78
4935,0,45,"Maker, Thon",Det,3000,0,260,32,8.1,2.7,8.1,4,2,.2.45.7.9.1.3.5..8.0.2.45.7.
5146,0,45,"Wilson, D.J.",Mil,3000,0,154.5,19,8.1,2.7,8.1,0,2,1..4.6.8.01..4.6.8.0...4...8
5152,0,23,"Iwundu, Wes",Orl,3000,-200,156.5,19,8.2,2.7,8.2,12,2,1.34.6.8.0..3.56.8.0.2.4.67.
5160,0,45,"Leaf, TJ",Ind,3000,0,167.5,21,8,2.7,8,1.2,1,.2.4.6.8.0..3.5.7.90.2.4.6..
5249,0,13,"Harrison, Shaquille",Chi,3000,0,163.3,20,8.2,2.7,8.2,2.8,2,.2.4.6.8.01.3.5.78.0.2.45.7.
5679,0,45,"Eubanks, Drew",SAS,3000,0,40,5,8,2.7,8,0,1,.2.4.6.8.0.2..5.7.90.2.4.67.
5845,0,5,"Fall, Tacko",Bos,3000,0,24.3,3,8.1,2.7,8.1,0,1,..34.6.89.1.3.56.8.0.2.4.6.8
5846,0,34,"Williams, Grant",Bos,3200,0,251.5,29,8.7,2.7,8.7,2.5,1,..34.6.89.1.3.56.8.0.2.4.6.8
5872,0,23,"Mathews, Garrison",Was,3400,400,99.3,11,9,2.7,9,34.5,2,1.34.6.8.0.2..5.7..0.23..6.8
5915,0,34,"Bazley, Darius",OKC,4200,0,372.3,33,11.3,2.7,11.3,7.2,1,.2.4.67.9.1.3.5.78.0.2.45.7.
5119,0,5,"Zizic, Ante",Cle,3000,0,84.5,11,7.7,2.6,7.7,0,1,.2.45.7.9.1.34..78.0..3.5.78
5673,0,13,"Evans III, Jacob",GSW,3000,0,109.3,14,7.8,2.6,7.8,4.5,1,.2.4.6.8.0.2.4.6.8.0.2.4...8
5756,0,23,"Walker, Lonnie",SAS,3200,0,201,24,8.4,2.6,8.4,13.2,1,.2.4.6.8.0.2..5.7.90.2.4.67.
5903,0,2,"Thomas, Matt",Tor,3000,0,92.3,12,7.7,2.6,7.7,0,1,.2.4..78...2..5.78.0.2.4.6.8
4461,6466,34,"Parsons, Chandler",Atl,3000,0,37.8,5,7.5,2.5,7.5,0,2,..34.6.8.0.2.4..78.0.2.4.6.8
4658,2489530,2,"Daniels, Troy",LAL,3000,0,179.5,24,7.5,2.5,7.5,2,3,1.3.5.7..01.3.5..8.0.23.5..8
4659,2490089,45,"Muscala, Mike",OKC,3000,0,147,20,7.3,2.5,7.3,0,1,.2.4.67.9.1.3.5.78.0.2.45.7.
5015,0,34,"Niang, Georges",Uta,3100,0,212.8,27,7.9,2.5,7.9,3.5,2,.2.4.6.8.0.2.4.6.8.0.2..5.7.
5691,0,2,"Robinson, Jerome",LAC,3000,0,205.8,27,7.6,2.5,7.6,4.5,1,.2.45....0.2.4.6.8..12.4.6.8
5931,0,45,"Reid, Naz",Min,3900,900,28.8,3,9.6,2.5,9.6,24,2,12..5.7.9.1.3.5.78.0.2.45.7.
5113,0,12,"Allen, Kadeem",NYK,3000,0,14.5,2,7.2,2.4,7.2,0,4,1.3.5.78.0.2.4.6.8.0.2.4.6.8
5666,0,23,"Broekhoff, Ryan",Dal,3000,0,70.5,10,7,2.4,7,0,1,.2.4.6.8.01..45.7...1.3.5.78
5724,0,45,"Clark, Gary",Hou,3800,0,164,18,9.1,2.4,9.1,4.8,1,..3....89.1..45..8.0.2.4.67.
5848,0,1,"Edwards, Carsen",Bos,3000,0,175.8,24,7.3,2.4,7.3,0,1,..34.6.89.1.3.56.8.0.2.4.6.8
4203,3970,3,"Carroll, DeMarre",SAS,3000,0,89,13,6.8,2.3,6.8,0,1,.2.4.6.8.0.2..5.7.90.2.4.67.
4990,0,34,"Hernangomez, Juan",Den,3400,0,161.3,21,7.7,2.3,7.7,0,1,.2.4.6.8..12..56..90.2.4.6.8
5115,0,34,"Ojeleye, Semi",Bos,3000,0,207.3,30,6.9,2.3,6.9,11.8,1,..34.6.89.1.3.56.8.0.2.4.6.8
5698,0,34,"Porter, Michael",Den,4500,0,248,24,10.3,2.3,10.3,11.2,1,.2.4.6.8..12..56..90.2.4.6.8
5703,0,12,"Milton, Shake",Phi,3000,0,75.8,11,6.9,2.3,6.9,20.2,1,..3..6..9.1.3.5.78.0.2..5..8
5735,0,34,"Kurucs, Rodions",Bkn,3000,0,118.3,17,7,2.3,7,8,2,.2.4.67..0.2.45..8.0..3.56..
5870,0,34,"Schofield, Admiral",Was,3000,-200,132.3,19,7,2.3,7,-0.5,2,1.34.6.8.0.2..5.7..0.23..6.8
3307,984,5,"Chandler, Tyson",Hou,3000,0,143.8,22,6.5,2.2,6.5,0,1,..3....89.1..45..8.0.2.4.67.
3931,3028,34,"Sefolosha, Thabo",Hou,3000,0,149,23,6.5,2.2,6.5,0,1,..3....89.1..45..8.0.2.4.67.
4820,0,45,"Looney, Kevon",GSW,3500,0,75.8,10,7.6,2.2,7.6,0,1,.2.4.6.8.0.2.4.6.8.0.2.4...8
5240,0,45,"Kornet, Luke",Chi,3000,0,113,17,6.6,2.2,6.6,4.8,2,.2.4.6.8.01.3.5.78.0.2.45.7.
5663,0,2,"Trent Jr., Gary",Por,3400,400,156.3,21,7.4,2.2,7.4,18.8,2,1.3.5.7.9.1.3.5.78.0..3..6..
4949,0,5,"Hernangomez, Guillermo",Cha,3000,0,76.5,12,6.4,2.1,6.4,6,1,.2.4.6.8.0.23.5....0...4...8
5797,0,1,"Clemons, Chris",Hou,4000,0,184,22,8.4,2.1,8.4,4,1,..3....89.1..45..8.0.2.4.67.
5856,0,12,"Mann, Terance",LAC,3000,0,138.3,22,6.3,2.1,6.3,0,1,.2.45....0.2.4.6.8..12.4.6.8
4110,3445,23,"Lee, Courtney",Dal,3000,0,47.8,8,6,2,6,0,1,.2.4.6.8.01..45.7...1.3.5.78
5230,0,34,"McKinnie, Alfonzo",Cle,3000,0,126.5,21,6,2,6,0,1,.2.45.7.9.1.34..78.0..3.5.78
5680,0,45,"Metu, Chimezie",SAS,3000,0,54.5,9,6.1,2,6.1,0,1,.2.4.6.8.0.2..5.7.90.2.4.67.
5916,0,1,"Dort, Luguentz",OKC,3000,0,43,7,6.1,2,6.1,0,1,.2.4.67.9.1.3.5.78.0.2.45.7.
4707,3102528,12,"Exum, Dante",Cle,3300,0,86,14,6.1,1.9,6.1,7.2,1,.2.45.7.9.1.34..78.0..3.5.78
5198,0,1,"Walton Jr., Derrick",LAC,3000,0,96.5,17,5.7,1.9,5.7,15,1,.2.45....0.2.4.6.8..12.4.6.8
5933,0,12,"Nowell, Jaylen",Min,3000,0,28.5,5,5.7,1.9,5.7,0,2,12..5.7.9.1.3.5.78.0.2.45.7.
5752,0,23,"Burton, Deonte",OKC,3000,0,90.8,18,5,1.7,5,0,1,.2.4.67.9.1.3.5.78.0.2.45.7.
5834,0,34,"Brantley, Jarrell",Uta,3000,0,10,2,5,1.7,5,0,2,.2.4.6.8.0.2.4.6.8.0.2..5.7.
5842,0,2,"Green, Javonte",Bos,3100,0,133.8,25,5.3,1.7,5.3,7.2,1,..34.6.89.1.3.56.8.0.2.4.6.8
5843,0,5,"Poirier, Vincent",Bos,3000,0,44.8,9,5,1.7,5,0,1,..34.6.89.1.3.56.8.0.2.4.6.8
5803,0,45,"Kabengele, Mfiondu",LAC,3000,0,47,10,4.7,1.6,4.7,0,1,.2.45....0.2.4.6.8..12.4.6.8
5844,0,23,"Langford, Romeo",Bos,3300,0,41.3,8,5.2,1.6,5.2,2,1,..34.6.89.1.3.56.8.0.2.4.6.8
5855,0,23,"Martin, Caleb",Cha,3000,0,24.3,5,4.8,1.6,4.8,0,1,.2.4.6.8.0.23.5....0...4...8
3535,2184,4,"Haslem, Udonis",Mia,3000,0,8.8,2,4.4,1.5,4.4,0,2,.23.5..8.0.2..5.7.90.2.4..78
3985,3201,34,"Dudley, Jared",LAL,3000,-200,101.5,23,4.4,1.5,4.4,2.5,3,1.3.5.7..01.3.5..8.0.23.5..8
4869,0,34,"Antetokounmpo, Thanasis",Mil,3000,-200,41,9,4.6,1.5,4.6,0,2,1..4.6.8.01..4.6.8.0...4...8
4975,0,1,"Magette, Josh",Orl,3000,0,16.3,4,4.1,1.4,4.1,0,2,1.34.6.8.0..3.56.8.0.2.4.67.
5153,0,12,"Mason III, Frank",Mil,3000,0,17,4,4.2,1.4,4.2,0,2,1..4.6.8.01..4.6.8.0...4...8
5715,0,34,"Gabriel, Wenyen",Sac,3000,0,37.5,9,4.2,1.4,4.2,0,1,.2.4.67..0..3.5..8.0.2.4..7.
5862,0,34,"King, Louis",Det,3000,0,13,3,4.3,1.4,4.3,0,2,.2.45.7.9.1.3.5..8.0.2.45.7.
5936,0,5,"Brown, Moses",Por,3000,0,20.3,5,4,1.4,4,-0.5,2,1.3.5.7.9.1.3.5.78.0..3..6..
5939,0,34,"Hoard, Jaylen",Por,3000,0,20.8,5,4.2,1.4,4.2,0,2,1.3.5.7.9.1.3.5.78.0..3..6..
5753,0,34,"Watanabe, Yuta",Mem,3000,0,15.3,4,3.8,1.3,3.8,0,3,.2.45.7..0.2.4..7..0.2.4.6.8
5764,0,4,"Johnson, Alize",Ind,3000,0,39.5,10,4,1.3,4,0,1,.2.4.6.8.0..3.5.7.90.2.4.6..
5798,0,1,"Ponds, Shamorie",Tor,3000,0,15.8,4,3.9,1.3,3.9,5.5,1,.2.4..78...2..5.78.0.2.4.6.8
5871,0,1,"Robinson, Justin",Was,3000,0,30.3,8,3.8,1.3,3.8,0,2,1.34.6.8.0.2..5.7..0.23..6.8
5900,0,34,"Brissett, Oshae",Tor,3000,0,34.5,9,3.8,1.3,3.8,6,1,.2.4..78...2..5.78.0.2.4.6.8
4838,0,34,"Johnson, Stanley",Tor,3000,0,28.3,8,3.5,1.2,3.5,2,1,.2.4..78...2..5.78.0.2.4.6.8
5902,0,45,"Hernandez, Dewan",Tor,3000,0,14.3,4,3.6,1.2,3.6,0,1,.2.4..78...2..5.78.0.2.4.6.8
5192,0,45,"Motley, Johnathan",LAC,3000,0,17,5,3.4,1.1,3.4,2,1,.2.45....0.2.4.6.8..12.4.6.8
5882,0,23,"Brown, Charlie",Atl,3000,0,13.3,4,3.3,1.1,3.3,0,2,..34.6.8.0.2.4..78.0.2.4.6.8
5886,0,34,"Cheatham, Zylan",Nor,3000,0,6.8,2,3.4,1.1,3.4,0,3,..34.6.8.01.3..6.8.0.2.4.6.8
5898,0,23,"Tucker, Rayjon",Uta,3000,0,3.3,1,3.2,1.1,3.2,3.2,2,.2.4.6.8.0.2.4.6.8.0.2..5.7.
5940,0,45,"Cook, Tyler",Cle,3000,0,19.8,6,3.3,1.1,3.3,0,1,.2.45.7.9.1.34..78.0..3.5.78
4886,0,23,"Miller, Malcolm",Tor,3100,0,60.5,19,3.2,1,3.2,1.5,1,.2.4..78...2..5.78.0.2.4.6.8
5847,0,2,"Strus, Max",Chi,3000,0,6.3,2,3.1,1,3.1,0,2,.2.4.6.8.01.3.5.78.0.2.45.7.
5876,0,34,"Brazdeikis, Ignas",NYK,3000,0,24.8,8,3.1,1,3.1,0,4,1.3.5.78.0.2.4.6.8.0.2.4.6.8
5178,0,45,"Swanigan, Caleb",Sac,3000,0,13.3,5,2.6,0.9,2.6,0,1,.2.4.67..0..3.5..8.0.2.4..7.
5857,0,4,"Wade, Dean",Cle,3000,0,8,3,2.7,0.9,2.7,0,1,.2.45.7.9.1.34..78.0..3.5.78
5945,0,34,"McDaniels, Jalen",Cha,3000,0,5.3,2,2.6,0.9,2.6,0,1,.2.4.6.8.0.23.5....0...4...8
5246,0,1,"Gray, Josh",Nor,3000,0,5,2,2.5,0.8,2.5,0,3,..34.6.8.01.3..6.8.0.2.4.6.8
5820,0,23,"Horton-Tucker, Talen",LAL,3000,0,5,2,2.5,0.8,2.5,0,3,1.3.5.7..01.3.5..8.0.23.5..8
5828,0,23,"Jeffries, DaQuan",Sac,3000,0,4.8,2,2.4,0.8,2.4,0,1,.2.4.67..0..3.5..8.0.2.4..7.
5176,0,5,"Patton, Justin",OKC,3000,0,4,2,2,0.7,2,0,1,.2.4.67.9.1.3.5.78.0.2.45.7.
5210,0,45,"Jefferson, Amile",Orl,3000,0,18.8,9,2.1,0.7,2.1,2,2,1.34.6.8.0..3.56.8.0.2.4.67.
5707,0,23,"Frazier, Melvin",Orl,3000,0,16.8,8,2.1,0.7,2.1,0.8,2,1.34.6.8.0..3.56.8.0.2.4.67.
5833,0,1,"Williams-Goss, Nigel",Uta,3000,0,16,8,2,0.7,2,7,2,.2.4.6.8.0.2.4.6.8.0.2..5.7.
5866,0,34,"Doumbouya, Sekou",Det,3000,0,15.5,7,2.2,0.7,2.2,0,2,.2.45.7.9.1.3.5..8.0.2.45.7.
5956,0,34,"Hervey, Kevin",OKC,3000,0,4,2,2,0.7,2,0,1,.2.4.67.9.1.3.5.78.0.2.45.7.
5009,0,45,"Ellenson, Henry",Bkn,3000,0,7,4,1.8,0.6,1.8,0,2,.2.4.67..0.2.45..8.0..3.56..
5255,0,45,"Bolden, Jonah",Phi,3000,0,3.5,2,1.8,0.6,1.8,0,1,..3..6..9.1.3.5.78.0.2..5..8
5810,0,23,"Bowen II, Brian",Ind,3000,0,5.3,3,1.8,0.6,1.8,0,1,.2.4.6.8.0..3.5.7.90.2.4.6..
5835,0,4,"Morgan, Juwan",Uta,3000,0,6.8,4,1.7,0.6,1.7,4.8,2,.2.4.6.8.0.2.4.6.8.0.2..5.7.
5778,0,34,"Vanderbilt, Jarred",Den,3000,0,5,4,1.2,0.4,1.2,1.5,1,.2.4.6.8..12..56..90.2.4.6.8
5893,0,12,"Mokoka, Adam",Chi,3000,0,2.5,2,1.2,0.4,1.2,0,2,.2.4.6.8.01.3.5.78.0.2.45.7.
5941,0,3,"Cancar, Vlatko",Den,3000,0,4.8,4,1.2,0.4,1.2,0,1,.2.4.6.8..12..56..90.2.4.6.8
5668,0,12,"Macon, Daryl",Mia,3000,0,4,4,1,0.3,1,0,2,.23.5..8.0.2..5.7.90.2.4..78
5864,0,1,"Bone, Jordan",Det,3000,0,3,3,1,0.3,1,0,2,.2.45.7.9.1.3.5..8.0.2.45.7.
5669,0,34,"Antetokounmpo, Kostas",LAL,3000,0,1.3,2,0.6,0.2,0.6,0,3,1.3.5.7..01.3.5..8.0.23.5..8
5757,0,2,"Thomas, Khyri",Det,3000,0,1,2,0.5,0.2,0.5,0,2,.2.45.7.9.1.3.5..8.0.2.45.7.
5839,0,2,"Konchar, John",Mem,3000,0,1.3,2,0.6,0.2,0.6,1.2,3,.2.45.7..0.2.4..7..0.2.4.6.8
5836,0,23,"Oni, Miye",Uta,3000,0,0.8,3,0.2,0.1,0.2,0,2,.2.4.6.8.0.2.4.6.8.0.2..5.7.
5910,0,34,"Okpala, KZ",Mia,3000,0,0.8,3,0.2,0.1,0.2,0,2,.23.5..8.0.2..5.7.90.2.4..78
3308,996,5,"Gasol, Pau",Por,0,0,0,0,0,0,0,0,,1.3.5.7.9.1.3.5.78.0..3..6..
3304,1007,34,"Johnson, Joe",Det,0,0,0,0,0,0,0,0,,.2.45.7.9.1.3.5..8.0.2.45.7.
3408,1713,5,"Hilario, Nene",Hou,3000,0,0,0,0,0,0,0,,..3....89.1..45..8.0.2.4.67.
3641,2386,23,"Iguodala, Andre",Mem,3000,0,0,0,0,0,0,0,,.2.45.7..0.2.4..7..0.2.4.6.8
3760,2761,23,"Green, Gerald",Hou,3000,0,0,0,0,0,0,0,1,..3....89.1..45..8.0.2.4.67.
3986,3202,34,"Durant, Kevin",Bkn,3000,0,0,0,0,0,0,0,,.2.4.67..0.2.45..8.0..3.56..
3992,3209,34,"Green, Jeff",Uta,0,0,411.8,30,13.7,0,13.7,0,2,.2.4.6.8.0.2.4.6.8.0.2..5.7.
4085,3412,45,"Anderson, Ryan",Hou,0,0,18.8,2,9.4,0,9.4,0,1,..3....89.1..45..8.0.2.4.67.
4274,4258,4,"Cousins, DeMarcus",LAL,3000,0,0,0,0,0,0,0,,1.3.5.7..01.3.5..8.0.23.5..8
4321,4237,1,"Wall, John",Was,3000,0,0,0,0,0,0,0,,1.34.6.8.0.2..5.7..0.23..6.8
4367,6475,23,"Thompson, Klay",GSW,3000,0,0,0,0,0,0,0,,.2.4.6.8.0.2.4.6.8.0.2.4...8
4397,6468,23,"Shumpert, Iman",Bkn,0,0,141.5,13,10.9,0,10.9,0,2,.2.4.67..0.2.45..8.0..3.56..
4484,6610,34,"Miller, Darius",Nor,3000,0,0,0,0,0,0,0,,..34.6.8.01.3..6.8.0.2.4.6.8
4515,6628,23,"Waiters, Dion",Mia,3100,0,0,0,0,0,0,0,2,.23.5..8.0.2..5.7.90.2.4..78
4559,2530596,23,"Roberson, Andre",OKC,3000,0,0,0,0,0,0,0,,.2.4.67.9.1.3.5.78.0.2.45.7.
4627,2527963,12,"Oladipo, Victor",Ind,6500,0,0,0,0,0,0,0,,.2.4.6.8.0..3.5.7.90.2.4.6..
4654,2528779,23,"Bullock, Reggie",NYK,3000,0,0,0,0,0,0,0,,1.3.5.78.0.2.4.6.8.0.2.4.6.8
4681,3102530,5,"Nurkic, Jusuf",Por,7200,-200,0,0,0,0,0,0,,1.3.5.7.9.1.3.5.78.0..3..6..
4739,2531352,4,"Moreland, Eric",OKC,0,0,0,0,0,0,0,0,,.2.4.67.9.1.3.5.78.0.2.45.7.
4802,0,12,"Frazier, Michael",Hou,3000,0,0,0,0,0,0,0,,..3....89.1..45..8.0.2.4.67.
4845,0,5,"Felicio, Cristiano",Chi,3000,0,0,0,0,0,0,0,2,.2.4.6.8.01.3.5.78.0.2.45.7.
4882,0,12,"Payne, Cameron",Tor,0,0,0,0,0,0,0,0,,.2.4..78...2..5.78.0.2.4.6.8
4923,0,1,"Jackson, Demetrius",LAL,0,0,0,0,0,0,0,0,,1.3.5.7..01.3.5..8.0.23.5..8
5110,0,1,"Taylor, Isaiah",Tor,0,0,0,0,0,0,0,0,,.2.4..78...2..5.78.0.2.4.6.8
5112,0,2,"Cleveland, Antonius",Dal,3000,0,0,0,0,0,0,0,1,.2.4.6.8.01..45.7...1.3.5.78
5130,0,34,"Jackson, Josh",Mem,3000,0,0,0,0,0,0,0,,.2.45.7..0.2.4..7..0.2.4.6.8
5143,0,2,"Robinson, Devin",Tor,0,0,0,0,0,0,0,0,,.2.4..78...2..5.78.0.2.4.6.8
5161,0,2,"Simmons, Kobi",Cha,3000,0,0,0,0,0,0,0,1,.2.4.6.8.0.23.5....0...4...8
5171,0,45,"Rabb, Ivan",NYK,3000,0,0,0,0,0,0,0,3,1.3.5.78.0.2.4.6.8.0.2.4.6.8
5175,0,4,"Lydon, Tyler",Sac,0,0,0,0,0,0,0,0,,.2.4.67..0..3.5..8.0.2.4..7.
5177,0,23,"Dozier, PJ",Den,3000,0,0,0,0,0,0,0,1,.2.4.6.8..12..56..90.2.4.6.8
5231,0,12,"Wallace, Tyrone",Atl,0,0,98.5,14,7,0,7,0,2,..34.6.8.0.2.4..78.0.2.4.6.8
5245,0,3,"Henry, Myke",OKC,0,0,0,0,0,0,0,0,,.2.4.67.9.1.3.5.78.0.2.45.7.
5696,0,1,"Akoon-Purcell, DeVaughn",OKC,0,0,0,0,0,0,0,0,,.2.4.67.9.1.3.5.78.0.2.45.7.
5736,0,1,"Gaddy, Abdul",OKC,0,0,0,0,0,0,0,0,,.2.4.67.9.1.3.5.78.0.2.45.7.
5748,0,23,"Reynolds, Cameron",Mil,3000,0,0,0,0,0,0,0,2,1..4.6.8.01..4.6.8.0...4...8
5773,0,1,"Chiozza, Chris",Was,0,0,110.8,10,11.1,0,11.1,0,2,1.34.6.8.0.2..5.7..0.23..6.8
5779,0,23,"Smith, Zhaire",Phi,3000,0,0,0,0,0,0,0,1,..3..6..9.1.3.5.78.0.2..5..8
5782,0,3,"Grantham, Donte",LAC,0,0,0,0,0,0,0,0,,.2.45....0.2.4.6.8..12.4.6.8
5783,0,3,"Highsmith, Haywood",Phi,0,0,0,0,0,0,0,0,,..3..6..9.1.3.5.78.0.2..5..8
5787,0,23,"Johnson, B.J.",Orl,3000,0,0,1,0,0,0,0,2,1.34.6.8.0..3.56.8.0.2.4.67.
5800,0,13,"Coffey, Amir",LAC,3000,0,0,1,0,0,0,0,1,.2.45....0.2.4.6.8..12.4.6.8
5801,0,23,"Palmer Jr., James",LAC,0,0,0,0,0,0,0,0,,.2.45....0.2.4.6.8..12.4.6.8
5804,0,3,"Larrier, Terry",LAC,0,0,0,0,0,0,0,0,,.2.45....0.2.4.6.8..12.4.6.8
5805,0,12,"Guy, Kyle",Sac,3300,0,0,0,0,0,0,0,1,.2.4.67..0..3.5..8.0.2.4..7.
5819,0,4,"Cacok, Devontae",LAL,3000,0,0,0,0,0,0,0,3,1.3.5.7..01.3.5..8.0.23.5..8
5821,0,1,"Norvell Jr., Zach",LAL,0,0,1.3,2,0.6,0,0.6,0,3,1.3.5.7..01.3.5..8.0.23.5..8
5822,0,3,"Hommes, Daulton",SAS,0,0,0,0,0,0,0,0,,.2.4.6.8.0.2..5.7.90.2.4.67.
5823,0,1,"Weatherspoon, Quinndary",SAS,3000,0,0,0,0,0,0,0,1,.2.4.6.8.0.2..5.7.90.2.4.67.
5825,0,34,"Samanic, Luka",SAS,3000,0,0,0,0,0,0,0,1,.2.4.6.8.0.2..5.7.90.2.4.67.
5826,0,23,"Johnson, Keldon",SAS,3000,0,0,1,0,0,0,0,1,.2.4.6.8.0.2..5.7.90.2.4.67.
5830,0,1,"Wright-Foreman, Justin",Uta,3000,0,0,0,0,0,0,0,2,.2.4.6.8.0.2.4.6.8.0.2..5.7.
5831,0,34,"Howard, William",Hou,3000,0,0,0,0,0,0,0,2,..3....89.1..45..8.0.2.4.67.
5832,0,4,"Kidd, Stanton",Uta,0,0,4.3,4,1.1,0,1.1,0,2,.2.4.6.8.0.2.4.6.8.0.2..5.7.
5851,0,34,"Franks, Robert",Cha,3000,0,0,0,0,0,0,0,1,.2.4.6.8.0.23.5....0...4...8
5859,0,23,"Windler, Dylan",Cle,3000,0,0,0,0,0,0,0,,.2.45.7.9.1.34..78.0..3.5.78
5863,0,3,"Withers, Todd",Det,0,0,0,0,0,0,0,0,,.2.45.7.9.1.3.5..8.0.2.45.7.
5865,0,45,"Hall, Donta",Det,0,0,0,0,0,0,0,0,,.2.45.7.9.1.3.5..8.0.2.45.7.
5874,0,1,"Peters, Lamar",NYK,0,0,0,0,0,0,0,0,,1.3.5.78.0.2.4.6.8.0.2.4.6.8
5875,0,4,"Wooten, Kenny",NYK,0,0,0,0,0,0,0,0,,1.3.5.78.0.2.4.6.8.0.2.4.6.8
5877,0,2,"King, V.J.",NYK,0,0,0,0,0,0,0,0,,1.3.5.78.0.2.4.6.8.0.2.4.6.8
5884,0,34,"Bigby-Williams, Kavell",Nor,0,0,0,0,0,0,0,0,,..34.6.8.01.3..6.8.0.2.4.6.8
5885,0,23,"Bess, Javon",Nor,0,0,0,0,0,0,0,0,,..34.6.8.01.3..6.8.0.2.4.6.8
5888,0,45,"Williamson, Zion",Nor,5800,0,0,0,0,0,0,0,3,..34.6.8.01.3..6.8.0.2.4.6.8
5890,0,1,"Adams, Jalen",Nor,0,0,0,0,0,0,0,0,,..34.6.8.01.3..6.8.0.2.4.6.8
5899,0,45,"Konate, Sagaba",Tor,0,0,0,0,0,0,0,0,,.2.4..78...2..5.78.0.2.4.6.8
5905,0,23,"Shayok, Marial",Phi,3000,0,0,0,0,0,0,0,1,..3..6..9.1.3.5.78.0.2..5..8
5907,0,3,"Miles, Isaiah",Phi,0,0,0,0,0,0,0,0,,..3..6..9.1.3.5.78.0.2..5..8
5908,0,5,"Koumadje, Christ",Phi,0,0,0,0,0,0,0,0,,..3..6..9.1.3.5.78.0.2..5..8
5917,0,2,"Hall, Devon",OKC,0,0,10.3,5,2,0,2,0,1,.2.4.67.9.1.3.5.78.0.2.45.7.
5919,0,34,"Roby, Isaiah",Dal,3000,0,0,0,0,0,0,0,1,.2.4.6.8.01..45.7...1.3.5.78
5922,0,2,"Reaves, Josh",Dal,3000,0,0,0,0,0,0,0,1,.2.4.6.8.01..45.7...1.3.5.78
5923,0,1,"Harper, Jared",Pho,3000,0,0,1,0,0,0,0,2,1.3.5.7..0.2.4.6.8.0.2.4.6.8
5929,0,12,"Lecque, Jalen",Pho,3000,0,0,0,0,0,0,0,2,1.3.5.7..0.2.4.6.8.0.2.4.6.8
5942,0,5,"Bol, Bol",Den,3000,0,0,0,0,0,0,0,,.2.4.6.8..12..56..90.2.4.6.8
5946,0,23,"Battle, Tyus",Min,0,0,0,0,0,0,0,0,,12..5.7.9.1.3.5.78.0.2.45.7.
