,Dates,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,Box_Score,OT?,Attend.,Notes
143,"Wed, Nov 20, 2019",10:00p,Boston Celtics,104,Los Angeles Clippers,107,Box Score,OT,"19,068",
144,"Thu, Nov 21, 2019",8:00p,Portland Trail Blazers,129,Milwaukee Bucks,137,Box Score,,"17,385",
145,"Thu, Nov 21, 2019",10:30p,New Orleans Pelicans,124,Phoenix Suns,121,Box Score,,"13,903",
146,"Fri, Nov 22, 2019",7:00p,Atlanta Hawks,103,Detroit Pistons,128,Box Score,,"15,399",
147,"Fri, Nov 22, 2019",7:00p,Charlotte Hornets,118,Washington Wizards,125,Box Score,,"15,053",
148,"Fri, Nov 22, 2019",7:30p,Sacramento Kings,97,Brooklyn Nets,116,Box Score,,"15,619",
149,"Fri, Nov 22, 2019",8:00p,Miami Heat,116,Chicago Bulls,108,Box Score,,"18,953",
150,"Fri, Nov 22, 2019",8:00p,Los Angeles Lakers,130,Oklahoma City Thunder,127,Box Score,,"18,203",
151,"Fri, Nov 22, 2019",8:00p,San Antonio Spurs,104,Philadelphia 76ers,115,Box Score,,"20,927",
152,"Fri, Nov 22, 2019",8:30p,Cleveland Cavaliers,101,Dallas Mavericks,143,Box Score,,"19,639",
153,"Fri, Nov 22, 2019",9:00p,Boston Celtics,92,Denver Nuggets,96,Box Score,,"19,520",
154,"Fri, Nov 22, 2019",9:00p,Golden State Warriors,109,Utah Jazz,113,Box Score,,"18,306",
155,"Fri, Nov 22, 2019",10:30p,Houston Rockets,119,Los Angeles Clippers,122,Box Score,,"19,068",
156,"Sat, Nov 23, 2019",5:00p,Phoenix Suns,100,Minnesota Timberwolves,98,Box Score,,"17,362",
157,"Sat, Nov 23, 2019",7:00p,Chicago Bulls,116,Charlotte Hornets,115,Box Score,,"17,891",
158,"Sat, Nov 23, 2019",7:00p,Orlando Magic,106,Indiana Pacers,111,Box Score,,"16,446",
159,"Sat, Nov 23, 2019",7:30p,Toronto Raptors,119,Atlanta Hawks,116,Box Score,,"16,931",
160,"Sat, Nov 23, 2019",7:30p,San Antonio Spurs,111,New York Knicks,104,Box Score,,"19,320",
161,"Sat, Nov 23, 2019",7:30p,Miami Heat,86,Philadelphia 76ers,113,Box Score,,"21,017",
162,"Sat, Nov 23, 2019",8:00p,Portland Trail Blazers,104,Cleveland Cavaliers,110,Box Score,,"19,432",
163,"Sat, Nov 23, 2019",8:00p,Los Angeles Lakers,109,Memphis Grizzlies,108,Box Score,,"17,794",
164,"Sat, Nov 23, 2019",8:30p,Detroit Pistons,90,Milwaukee Bucks,104,Box Score,,"17,585",
165,"Sat, Nov 23, 2019",9:00p,New Orleans Pelicans,120,Utah Jazz,128,Box Score,,"18,306",
166,"Sun, Nov 24, 2019",3:30p,Dallas Mavericks,137,Houston Rockets,123,Box Score,,"18,055",
167,"Sun, Nov 24, 2019",6:00p,Brooklyn Nets,103,New York Knicks,101,Box Score,,"18,770",
168,"Sun, Nov 24, 2019",6:00p,Sacramento Kings,113,Washington Wizards,106,Box Score,,"15,885",
169,"Sun, Nov 24, 2019",8:00p,Phoenix Suns,104,Denver Nuggets,116,Box Score,,"19,520",
170,"Sun, Nov 24, 2019",9:00p,New Orleans Pelicans,109,Los Angeles Clippers,134,Box Score,,"19,068",
171,"Mon, Nov 25, 2019",7:00p,Brooklyn Nets,108,Cleveland Cavaliers,106,Box Score,,"17,143",
172,"Mon, Nov 25, 2019",7:00p,Orlando Magic,88,Detroit Pistons,103,Box Score,,"14,695",
173,"Mon, Nov 25, 2019",7:00p,Memphis Grizzlies,114,Indiana Pacers,126,Box Score,,"15,141",
174,"Mon, Nov 25, 2019",7:30p,Minnesota Timberwolves,125,Atlanta Hawks,113,Box Score,,"16,218",
175,"Mon, Nov 25, 2019",7:30p,Sacramento Kings,102,Boston Celtics,103,Box Score,,"19,156",
176,"Mon, Nov 25, 2019",7:30p,Charlotte Hornets,100,Miami Heat,117,Box Score,,"19,600",
177,"Mon, Nov 25, 2019",7:30p,Philadelphia 76ers,96,Toronto Raptors,101,Box Score,,"19,800",
178,"Mon, Nov 25, 2019",8:00p,Portland Trail Blazers,117,Chicago Bulls,94,Box Score,,"18,776",
179,"Mon, Nov 25, 2019",8:00p,Utah Jazz,118,Milwaukee Bucks,122,Box Score,,"17,385",
180,"Mon, Nov 25, 2019",8:30p,Los Angeles Lakers,114,San Antonio Spurs,104,Box Score,,"18,498",
181,"Mon, Nov 25, 2019",10:30p,Oklahoma City Thunder,100,Golden State Warriors,97,Box Score,,"18,064",
182,"Tue, Nov 26, 2019",8:30p,Los Angeles Clippers,114,Dallas Mavericks,99,Box Score,,"20,407",
183,"Tue, Nov 26, 2019",9:00p,Washington Wizards,104,Denver Nuggets,117,Box Score,,"18,673",
184,"Wed, Nov 27, 2019",7:00p,Brooklyn Nets,110,Boston Celtics,121,Box Score,,"19,156",
185,"Wed, Nov 27, 2019",7:00p,Detroit Pistons,101,Charlotte Hornets,102,Box Score,,"15,535",
186,"Wed, Nov 27, 2019",7:00p,Orlando Magic,116,Cleveland Cavaliers,104,Box Score,,"17,712",
187,"Wed, Nov 27, 2019",7:00p,Utah Jazz,102,Indiana Pacers,121,Box Score,,"17,027",
188,"Wed, Nov 27, 2019",7:00p,Sacramento Kings,91,Philadelphia 76ers,97,Box Score,,"20,592",
189,"Wed, Nov 27, 2019",7:30p,New York Knicks,98,Toronto Raptors,126,Box Score,,"19,800",
190,"Wed, Nov 27, 2019",8:00p,Miami Heat,108,Houston Rockets,117,Box Score,,"18,055",
191,"Wed, Nov 27, 2019",8:00p,Los Angeles Clippers,121,Memphis Grizzlies,119,Box Score,,"16,721",
192,"Wed, Nov 27, 2019",8:00p,Atlanta Hawks,102,Milwaukee Bucks,111,Box Score,,"17,525",
193,"Wed, Nov 27, 2019",8:30p,Minnesota Timberwolves,113,San Antonio Spurs,101,Box Score,,"18,354",
194,"Wed, Nov 27, 2019",9:00p,Washington Wizards,140,Phoenix Suns,132,Box Score,,"14,123",
195,"Wed, Nov 27, 2019",9:30p,Los Angeles Lakers,114,New Orleans Pelicans,110,Box Score,,"18,626",
196,"Wed, Nov 27, 2019",10:00p,Oklahoma City Thunder,119,Portland Trail Blazers,136,Box Score,,"19,870",
197,"Wed, Nov 27, 2019",10:30p,Chicago Bulls,90,Golden State Warriors,104,Box Score,,"18,064",
198,"Fri, Nov 29, 2019",12:00p,Boston Celtics,107,Brooklyn Nets,112,Box Score,,"17,732",
199,"Fri, Nov 29, 2019",7:00p,Charlotte Hornets,110,Detroit Pistons,107,Box Score,,"15,006",
200,"Fri, Nov 29, 2019",7:00p,Toronto Raptors,90,Orlando Magic,83,Box Score,,"17,014",
201,"Fri, Nov 29, 2019",7:30p,Milwaukee Bucks,119,Cleveland Cavaliers,110,Box Score,,"19,432",
202,"Fri, Nov 29, 2019",7:30p,Philadelphia 76ers,101,New York Knicks,95,Box Score,,"18,109",
203,"Fri, Nov 29, 2019",8:00p,Atlanta Hawks,104,Indiana Pacers,105,Box Score,OT,"15,827",
204,"Fri, Nov 29, 2019",8:00p,Utah Jazz,103,Memphis Grizzlies,94,Box Score,,"16,605",
205,"Fri, Nov 29, 2019",8:00p,Golden State Warriors,105,Miami Heat,122,Box Score,,"19,600",
206,"Fri, Nov 29, 2019",8:00p,New Orleans Pelicans,104,Oklahoma City Thunder,109,Box Score,,"18,203",
207,"Fri, Nov 29, 2019",8:30p,Los Angeles Clippers,97,San Antonio Spurs,107,Box Score,,"18,354",
208,"Fri, Nov 29, 2019",9:00p,Dallas Mavericks,120,Phoenix Suns,113,Box Score,,"18,055",
209,"Fri, Nov 29, 2019",10:00p,Chicago Bulls,103,Portland Trail Blazers,107,Box Score,,"20,139",
210,"Fri, Nov 29, 2019",10:30p,Washington Wizards,103,Los Angeles Lakers,125,Box Score,,"18,997",
211,"Sat, Nov 30, 2019",5:00p,Denver Nuggets,97,Sacramento Kings,100,Box Score,OT,"17,583",
212,"Sat, Nov 30, 2019",7:00p,Indiana Pacers,116,Philadelphia 76ers,119,Box Score,,"20,517",
213,"Sat, Nov 30, 2019",8:00p,Atlanta Hawks,111,Houston Rockets,158,Box Score,,"18,055",
214,"Sat, Nov 30, 2019",8:00p,Charlotte Hornets,96,Milwaukee Bucks,137,Box Score,,"17,550",
0,"Sun, Dec 1, 2019",3:00p,Miami Heat,109,Brooklyn Nets,106,Box Score,,"17,026",
1,"Sun, Dec 1, 2019",3:30p,Memphis Grizzlies,115,Minnesota Timberwolves,107,Box Score,,"12,276",
2,"Sun, Dec 1, 2019",3:30p,Boston Celtics,113,New York Knicks,104,Box Score,,"18,005",
3,"Sun, Dec 1, 2019",4:00p,Dallas Mavericks,114,Los Angeles Lakers,100,Box Score,,"18,997",
4,"Sun, Dec 1, 2019",5:00p,San Antonio Spurs,98,Detroit Pistons,132,Box Score,,"14,270",
5,"Sun, Dec 1, 2019",5:00p,Oklahoma City Thunder,107,New Orleans Pelicans,104,Box Score,,"15,427",
6,"Sun, Dec 1, 2019",6:00p,Golden State Warriors,96,Orlando Magic,100,Box Score,,"15,052",
7,"Sun, Dec 1, 2019",6:00p,Utah Jazz,110,Toronto Raptors,130,Box Score,,"18,132",
8,"Sun, Dec 1, 2019",10:30p,Washington Wizards,125,Los Angeles Clippers,150,Box Score,,"19,068",
9,"Mon, Dec 2, 2019",7:00p,Phoenix Suns,109,Charlotte Hornets,104,Box Score,,"11,221",
10,"Mon, Dec 2, 2019",7:00p,Utah Jazz,94,Philadelphia 76ers,103,Box Score,,"20,208",
11,"Mon, Dec 2, 2019",7:30p,Golden State Warriors,79,Atlanta Hawks,104,Box Score,,"14,278",
12,"Mon, Dec 2, 2019",8:00p,Indiana Pacers,117,Memphis Grizzlies,104,Box Score,,"11,919",
13,"Mon, Dec 2, 2019",8:00p,New York Knicks,88,Milwaukee Bucks,132,Box Score,,"17,385",
14,"Mon, Dec 2, 2019",10:00p,Chicago Bulls,113,Sacramento Kings,106,Box Score,,"17,257",
15,"Tue, Dec 3, 2019",7:00p,Detroit Pistons,127,Cleveland Cavaliers,94,Box Score,,"17,504",
16,"Tue, Dec 3, 2019",7:00p,Orlando Magic,127,Washington Wizards,120,Box Score,,"13,159",
17,"Tue, Dec 3, 2019",7:30p,Dallas Mavericks,118,New Orleans Pelicans,97,Box Score,,"14,664",
18,"Tue, Dec 3, 2019",7:30p,Miami Heat,121,Toronto Raptors,110,Box Score,OT,"19,800",
19,"Tue, Dec 3, 2019",8:30p,Houston Rockets,133,San Antonio Spurs,135,Box Score,2OT,"18,354",
20,"Tue, Dec 3, 2019",9:00p,Los Angeles Lakers,105,Denver Nuggets,96,Box Score,,"19,658",
21,"Tue, Dec 3, 2019",10:00p,Portland Trail Blazers,97,Los Angeles Clippers,117,Box Score,,"19,068",
22,"Wed, Dec 4, 2019",7:00p,Golden State Warriors,91,Charlotte Hornets,106,Box Score,,"14,355",
23,"Wed, Dec 4, 2019",7:00p,Milwaukee Bucks,127,Detroit Pistons,103,Box Score,,"15,742",
24,"Wed, Dec 4, 2019",7:00p,Phoenix Suns,114,Orlando Magic,128,Box Score,,"15,176",
25,"Wed, Dec 4, 2019",7:30p,Brooklyn Nets,130,Atlanta Hawks,118,Box Score,,"15,694",
26,"Wed, Dec 4, 2019",7:30p,Miami Heat,93,Boston Celtics,112,Box Score,,"19,156",
27,"Wed, Dec 4, 2019",8:00p,Memphis Grizzlies,99,Chicago Bulls,106,Box Score,,"15,017",
28,"Wed, Dec 4, 2019",8:00p,Indiana Pacers,107,Oklahoma City Thunder,100,Box Score,,"18,203",
29,"Wed, Dec 4, 2019",8:30p,Minnesota Timberwolves,114,Dallas Mavericks,121,Box Score,,"19,671",
30,"Wed, Dec 4, 2019",9:00p,Los Angeles Lakers,121,Utah Jazz,96,Box Score,,"18,306",
31,"Wed, Dec 4, 2019",10:00p,Sacramento Kings,116,Portland Trail Blazers,127,Box Score,,"19,393",
32,"Thu, Dec 5, 2019",7:00p,Philadelphia 76ers,113,Washington Wizards,119,Box Score,,"16,554",
33,"Thu, Dec 5, 2019",7:30p,Denver Nuggets,129,New York Knicks,92,Box Score,,"18,171",
34,"Thu, Dec 5, 2019",7:30p,Houston Rockets,119,Toronto Raptors,109,Box Score,,"19,800",
35,"Thu, Dec 5, 2019",8:00p,Phoenix Suns,139,New Orleans Pelicans,132,Box Score,OT,"15,607",
36,"Fri, Dec 6, 2019",7:00p,Brooklyn Nets,111,Charlotte Hornets,104,Box Score,,"15,075",
37,"Fri, Dec 6, 2019",7:00p,Orlando Magic,93,Cleveland Cavaliers,87,Box Score,,"18,446",
38,"Fri, Dec 6, 2019",7:00p,Indiana Pacers,101,Detroit Pistons,108,Box Score,,"14,894",
39,"Fri, Dec 6, 2019",8:00p,Denver Nuggets,95,Boston Celtics,108,Box Score,,"19,156",
40,"Fri, Dec 6, 2019",8:00p,Golden State Warriors,100,Chicago Bulls,98,Box Score,,"18,841",
41,"Fri, Dec 6, 2019",8:00p,Washington Wizards,103,Miami Heat,112,Box Score,,"19,600",
42,"Fri, Dec 6, 2019",8:00p,Minnesota Timberwolves,127,Oklahoma City Thunder,139,Box Score,OT,"18,203",
43,"Fri, Dec 6, 2019",8:30p,Los Angeles Clippers,91,Milwaukee Bucks,119,Box Score,,"17,732",
44,"Fri, Dec 6, 2019",8:30p,Sacramento Kings,104,San Antonio Spurs,105,Box Score,OT,"18,354",
45,"Fri, Dec 6, 2019",10:30p,Los Angeles Lakers,136,Portland Trail Blazers,113,Box Score,,"19,912",
46,"Sat, Dec 7, 2019",2:00p,New Orleans Pelicans,84,Dallas Mavericks,130,Box Score,,"19,456",
47,"Sat, Dec 7, 2019",7:30p,Indiana Pacers,104,New York Knicks,103,Box Score,,"19,110",
48,"Sat, Dec 7, 2019",7:30p,Cleveland Cavaliers,94,Philadelphia 76ers,141,Box Score,,"20,844",
49,"Sat, Dec 7, 2019",8:00p,Phoenix Suns,109,Houston Rockets,115,Box Score,,"18,055",
50,"Sat, Dec 7, 2019",10:00p,Memphis Grizzlies,112,Utah Jazz,126,Box Score,,"18,306",
51,"Sun, Dec 8, 2019",3:00p,Denver Nuggets,102,Brooklyn Nets,105,Box Score,,"16,679",
52,"Sun, Dec 8, 2019",5:00p,Atlanta Hawks,122,Charlotte Hornets,107,Box Score,,"15,489",
53,"Sun, Dec 8, 2019",6:00p,Chicago Bulls,105,Miami Heat,110,Box Score,OT,"19,600",
54,"Sun, Dec 8, 2019",6:00p,Toronto Raptors,104,Philadelphia 76ers,110,Box Score,,"20,313",
55,"Sun, Dec 8, 2019",6:00p,Los Angeles Clippers,135,Washington Wizards,119,Box Score,,"15,946",
56,"Sun, Dec 8, 2019",7:00p,Sacramento Kings,110,Dallas Mavericks,106,Box Score,,"19,566",
57,"Sun, Dec 8, 2019",9:00p,Oklahoma City Thunder,108,Portland Trail Blazers,96,Box Score,,"19,393",
58,"Sun, Dec 8, 2019",9:30p,Minnesota Timberwolves,125,Los Angeles Lakers,142,Box Score,,"18,997",
59,"Mon, Dec 9, 2019",7:00p,Los Angeles Clippers,110,Indiana Pacers,99,Box Score,,"14,644",
60,"Mon, Dec 9, 2019",7:30p,Cleveland Cavaliers,88,Boston Celtics,110,Box Score,,"19,156",
61,"Mon, Dec 9, 2019",8:00p,Toronto Raptors,93,Chicago Bulls,92,Box Score,,"14,775",
62,"Mon, Dec 9, 2019",8:00p,Sacramento Kings,119,Houston Rockets,118,Box Score,,"18,055",
63,"Mon, Dec 9, 2019",8:00p,Orlando Magic,101,Milwaukee Bucks,110,Box Score,,"17,385",
64,"Mon, Dec 9, 2019",8:00p,Detroit Pistons,105,New Orleans Pelicans,103,Box Score,,"13,694",
65,"Mon, Dec 9, 2019",9:00p,Minnesota Timberwolves,109,Phoenix Suns,125,Box Score,,"13,230",
66,"Mon, Dec 9, 2019",9:00p,Oklahoma City Thunder,104,Utah Jazz,90,Box Score,,"18,306",
67,"Mon, Dec 9, 2019",10:30p,Memphis Grizzlies,110,Golden State Warriors,102,Box Score,,"18,064",
68,"Tue, Dec 10, 2019",7:00p,Washington Wizards,107,Charlotte Hornets,114,Box Score,,"10,626",
69,"Tue, Dec 10, 2019",8:00p,Atlanta Hawks,121,Miami Heat,135,Box Score,OT,"19,600",
70,"Tue, Dec 10, 2019",8:00p,Denver Nuggets,92,Philadelphia 76ers,97,Box Score,,"20,591",
71,"Tue, Dec 10, 2019",10:00p,New York Knicks,87,Portland Trail Blazers,115,Box Score,,"19,393",
72,"Wed, Dec 11, 2019",7:00p,Houston Rockets,116,Cleveland Cavaliers,110,Box Score,,"17,122",
73,"Wed, Dec 11, 2019",7:00p,Boston Celtics,117,Indiana Pacers,122,Box Score,,"15,637",
74,"Wed, Dec 11, 2019",7:00p,Los Angeles Lakers,96,Orlando Magic,87,Box Score,,"18,846",
75,"Wed, Dec 11, 2019",7:00p,Los Angeles Clippers,112,Toronto Raptors,92,Box Score,,"20,144",
76,"Wed, Dec 11, 2019",7:30p,Charlotte Hornets,113,Brooklyn Nets,108,Box Score,,"15,631",
77,"Wed, Dec 11, 2019",8:00p,Atlanta Hawks,102,Chicago Bulls,136,Box Score,,"15,084",
78,"Wed, Dec 11, 2019",8:00p,Utah Jazz,127,Minnesota Timberwolves,116,Box Score,,"12,369",
79,"Wed, Dec 11, 2019",9:00p,Memphis Grizzlies,115,Phoenix Suns,108,Box Score,,"12,254",
80,"Wed, Dec 11, 2019",9:30p,New Orleans Pelicans,112,Milwaukee Bucks,127,Box Score,,"17,385",
81,"Wed, Dec 11, 2019",10:00p,Oklahoma City Thunder,93,Sacramento Kings,94,Box Score,,"16,723",
82,"Wed, Dec 11, 2019",10:30p,New York Knicks,124,Golden State Warriors,122,Box Score,OT,"18,064",
83,"Thu, Dec 12, 2019",8:00p,Philadelphia 76ers,115,Boston Celtics,109,Box Score,,"19,156",
84,"Thu, Dec 12, 2019",8:30p,Cleveland Cavaliers,117,San Antonio Spurs,109,Box Score,OT,"18,354",
85,"Thu, Dec 12, 2019",9:00p,Dallas Mavericks,122,Detroit Pistons,111,Box Score,,"20,064","at Mexico City, Mexico"
86,"Thu, Dec 12, 2019",10:30p,Portland Trail Blazers,99,Denver Nuggets,114,Box Score,,"18,828",
87,"Fri, Dec 13, 2019",7:00p,Los Angeles Lakers,113,Miami Heat,110,Box Score,,"20,013",
88,"Fri, Dec 13, 2019",7:00p,Houston Rockets,130,Orlando Magic,107,Box Score,,"16,335",
89,"Fri, Dec 13, 2019",7:00p,New Orleans Pelicans,109,Philadelphia 76ers,116,Box Score,,"20,620",
90,"Fri, Dec 13, 2019",7:30p,Indiana Pacers,110,Atlanta Hawks,100,Box Score,,"15,121",
91,"Fri, Dec 13, 2019",8:00p,Charlotte Hornets,83,Chicago Bulls,73,Box Score,,"18,377",
92,"Fri, Dec 13, 2019",8:00p,Milwaukee Bucks,127,Memphis Grizzlies,114,Box Score,,"16,109",
93,"Fri, Dec 13, 2019",9:00p,Golden State Warriors,106,Utah Jazz,114,Box Score,,"18,306",
94,"Fri, Dec 13, 2019",9:30p,Los Angeles Clippers,124,Minnesota Timberwolves,117,Box Score,,"17,585",
95,"Fri, Dec 13, 2019",10:00p,New York Knicks,103,Sacramento Kings,101,Box Score,,"17,583",
96,"Sat, Dec 14, 2019",5:00p,San Antonio Spurs,121,Phoenix Suns,119,Box Score,OT,"20,013","at Mexico City, Mexico"
97,"Sat, Dec 14, 2019",7:30p,Brooklyn Nets,102,Toronto Raptors,110,Box Score,,"19,800",
98,"Sat, Dec 14, 2019",8:00p,Los Angeles Clippers,106,Chicago Bulls,109,Box Score,,"18,426",
99,"Sat, Dec 14, 2019",8:00p,Washington Wizards,111,Memphis Grizzlies,128,Box Score,,"15,631",
100,"Sat, Dec 14, 2019",8:30p,Miami Heat,122,Dallas Mavericks,118,Box Score,OT,"20,333",
101,"Sat, Dec 14, 2019",8:30p,Cleveland Cavaliers,108,Milwaukee Bucks,125,Box Score,,"17,481",
102,"Sat, Dec 14, 2019",9:00p,Oklahoma City Thunder,102,Denver Nuggets,110,Box Score,,"19,520",
103,"Sat, Dec 14, 2019",9:00p,Detroit Pistons,115,Houston Rockets,107,Box Score,,"18,055",
104,"Sun, Dec 15, 2019",3:30p,Orlando Magic,130,New Orleans Pelicans,119,Box Score,,"15,388",
105,"Sun, Dec 15, 2019",5:00p,Charlotte Hornets,85,Indiana Pacers,107,Box Score,,"16,061",
106,"Sun, Dec 15, 2019",6:00p,Los Angeles Lakers,101,Atlanta Hawks,96,Box Score,,"16,962",
107,"Sun, Dec 15, 2019",6:00p,Philadelphia 76ers,89,Brooklyn Nets,109,Box Score,,"17,732",
108,"Sun, Dec 15, 2019",8:00p,New York Knicks,105,Denver Nuggets,111,Box Score,,"18,867",
109,"Sun, Dec 15, 2019",8:30p,Sacramento Kings,100,Golden State Warriors,79,Box Score,,"18,064",
110,"Mon, Dec 16, 2019",7:00p,Washington Wizards,133,Detroit Pistons,119,Box Score,,"14,632",
111,"Mon, Dec 16, 2019",7:30p,Cleveland Cavaliers,113,Toronto Raptors,133,Box Score,,"19,800",
112,"Mon, Dec 16, 2019",8:00p,San Antonio Spurs,107,Houston Rockets,109,Box Score,,"18,055",
113,"Mon, Dec 16, 2019",8:00p,Miami Heat,111,Memphis Grizzlies,118,Box Score,,"14,021",
114,"Mon, Dec 16, 2019",8:00p,Dallas Mavericks,120,Milwaukee Bucks,116,Box Score,,"17,727",
115,"Mon, Dec 16, 2019",8:00p,Chicago Bulls,106,Oklahoma City Thunder,109,Box Score,,"18,203",
116,"Mon, Dec 16, 2019",9:00p,Portland Trail Blazers,111,Phoenix Suns,110,Box Score,,"14,193",
117,"Tue, Dec 17, 2019",7:00p,Sacramento Kings,102,Charlotte Hornets,110,Box Score,,"13,229",
118,"Tue, Dec 17, 2019",7:00p,Los Angeles Lakers,102,Indiana Pacers,105,Box Score,,"17,923",
119,"Tue, Dec 17, 2019",7:30p,Atlanta Hawks,120,New York Knicks,143,Box Score,,"18,268",
120,"Tue, Dec 17, 2019",8:00p,Brooklyn Nets,108,New Orleans Pelicans,101,Box Score,OT,"15,177",
121,"Tue, Dec 17, 2019",9:00p,Orlando Magic,102,Utah Jazz,109,Box Score,,"18,306",
122,"Tue, Dec 17, 2019",10:30p,Phoenix Suns,99,Los Angeles Clippers,120,Box Score,,"19,068",
123,"Wed, Dec 18, 2019",7:00p,Charlotte Hornets,98,Cleveland Cavaliers,100,Box Score,,"17,023",
124,"Wed, Dec 18, 2019",7:00p,Toronto Raptors,112,Detroit Pistons,99,Box Score,,"15,319",
125,"Wed, Dec 18, 2019",7:00p,Miami Heat,108,Philadelphia 76ers,104,Box Score,,"20,715",
126,"Wed, Dec 18, 2019",7:00p,Chicago Bulls,110,Washington Wizards,109,Box Score,OT,"14,987",
127,"Wed, Dec 18, 2019",8:00p,New Orleans Pelicans,107,Minnesota Timberwolves,99,Box Score,,"12,490",
128,"Wed, Dec 18, 2019",8:00p,Memphis Grizzlies,122,Oklahoma City Thunder,126,Box Score,,"18,203",
129,"Wed, Dec 18, 2019",9:00p,Orlando Magic,104,Denver Nuggets,113,Box Score,,"18,182",
130,"Wed, Dec 18, 2019",9:30p,Boston Celtics,109,Dallas Mavericks,103,Box Score,,"20,181",
131,"Wed, Dec 18, 2019",10:00p,Golden State Warriors,112,Portland Trail Blazers,122,Box Score,,"19,393",
132,"Thu, Dec 19, 2019",7:30p,Utah Jazz,111,Atlanta Hawks,106,Box Score,,"16,739",
133,"Thu, Dec 19, 2019",8:00p,Los Angeles Lakers,104,Milwaukee Bucks,111,Box Score,,"18,051",
134,"Thu, Dec 19, 2019",8:30p,Brooklyn Nets,105,San Antonio Spurs,118,Box Score,,"18,354",
135,"Thu, Dec 19, 2019",10:30p,Houston Rockets,122,Los Angeles Clippers,117,Box Score,,"19,068",
136,"Fri, Dec 20, 2019",7:00p,Memphis Grizzlies,107,Cleveland Cavaliers,114,Box Score,,"19,432",
137,"Fri, Dec 20, 2019",7:00p,Sacramento Kings,105,Indiana Pacers,119,Box Score,,"14,649",
138,"Fri, Dec 20, 2019",7:30p,Detroit Pistons,93,Boston Celtics,114,Box Score,,"19,156",
